ID,Indicator,Country,"Country Code",Year,"Country Score","Country Color","Country Cateory","Created By","Created At"
1,"Overall Score",Afghanistan,AFG,2023,4.623054256,#d73027,"Very High",Admin,"2024-11-20 09:56:33"
2,"Overall Score",Angola,AGO,2023,4.607524656,#d73027,"Very High",Admin,"2024-11-20 09:56:33"
3,"Overall Score","No Country",ALB,2023,3.500672186,#fee98b,Medium,Admin,"2024-11-20 09:56:33"
4,"Overall Score","No Country",ARE,2023,1.688120148,#1a9850,"Very Low",Admin,"2024-11-20 09:56:33"
5,"Overall Score","No Country",ARG,2023,3.031915444,#a6d96a,Low,Admin,"2024-11-20 09:56:33"
6,"Overall Score","No Country",ARM,2023,3.648924806,#fdae61,High,Admin,"2024-11-20 09:56:33"
7,"Overall Score","No Country",AUS,2023,2.608441611,#a6d96a,Low,Admin,"2024-11-20 09:56:33"
8,"Overall Score","No Country",AUT,2023,1.409069931,#1a9850,"Very Low",Admin,"2024-11-20 09:56:33"
9,"Overall Score","No Country",AZE,2023,3.179856068,#a6d96a,Low,Admin,"2024-11-20 09:56:33"
10,"Overall Score","No Country",BDI,2023,4.316697603,#d73027,"Very High",Admin,"2024-11-20 09:56:33"
11,"Overall Score","No Country",BEL,2023,1.099889682,#1a9850,"Very Low",Admin,"2024-11-20 09:56:33"
12,"Overall Score","No Country",BEN,2023,4.092930186,#fdae61,High,Admin,"2024-11-20 09:56:33"
13,"Overall Score","No Country",BFA,2023,4.369602342,#d73027,"Very High",Admin,"2024-11-20 09:56:34"
14,"Overall Score","No Country",BGD,2023,4.206211958,#d73027,"Very High",Admin,"2024-11-20 09:56:34"
15,"Overall Score","No Country",BGR,2023,1.988240593,#1a9850,"Very Low",Admin,"2024-11-20 09:56:34"
16,"Overall Score","No Country",BHR,2023,2.885886949,#a6d96a,Low,Admin,"2024-11-20 09:56:34"
17,"Overall Score","No Country",BIH,2023,3.156583586,#a6d96a,Low,Admin,"2024-11-20 09:56:34"
18,"Overall Score","No Country",BLR,2023,2.039641588,#1a9850,"Very Low",Admin,"2024-11-20 09:56:34"
19,"Overall Score","No Country",BOL,2023,3.795044224,#fdae61,High,Admin,"2024-11-20 09:56:34"
20,"Overall Score","No Country",BRA,2023,3.374648969,#fee98b,Medium,Admin,"2024-11-20 09:56:34"
21,"Overall Score","No Country",BTN,2023,2.860453908,#a6d96a,Low,Admin,"2024-11-20 09:56:34"
22,"Overall Score","No Country",BWA,2023,3.338424562,#fee98b,Medium,Admin,"2024-11-20 09:56:34"
23,"Overall Score","No Country",CAF,2023,4.679724992,#d73027,"Very High",Admin,"2024-11-20 09:56:34"
24,"Overall Score","No Country",CAN,2023,1.862275394,#1a9850,"Very Low",Admin,"2024-11-20 09:56:34"
25,"Overall Score","No Country",CHE,2023,1.299024354,#1a9850,"Very Low",Admin,"2024-11-20 09:56:34"
26,"Overall Score","No Country",CHL,2023,2.457797436,#a6d96a,Low,Admin,"2024-11-20 09:56:34"
27,"Overall Score","No Country",CHN,2023,2.843505353,#a6d96a,Low,Admin,"2024-11-20 09:56:34"
28,"Overall Score","No Country",CIV,2023,3.682240232,#fdae61,High,Admin,"2024-11-20 09:56:34"
29,"Overall Score","No Country",CMR,2023,4.117346956,#fdae61,High,Admin,"2024-11-20 09:56:34"
30,"Overall Score","No Country",COD,2023,4.265795692,#d73027,"Very High",Admin,"2024-11-20 09:56:34"
31,"Overall Score","No Country",COG,2023,4.308226912,#d73027,"Very High",Admin,"2024-11-20 09:56:34"
32,"Overall Score","No Country",COL,2023,4.206211958,#d73027,"Very High",Admin,"2024-11-20 09:56:34"
33,"Overall Score","No Country",CRI,2023,2.340619546,#a6d96a,Low,Admin,"2024-11-20 09:56:34"
34,"Overall Score","No Country",CUB,2023,3.761867351,#fdae61,High,Admin,"2024-11-20 09:56:34"
35,"Overall Score","No Country",CYP,2023,1.648391792,#1a9850,"Very Low",Admin,"2024-11-20 09:56:34"
36,"Overall Score","No Country",CZE,2023,1.690604631,#1a9850,"Very Low",Admin,"2024-11-20 09:56:34"
37,"Overall Score","No Country",DEU,2023,1.171167282,#1a9850,"Very Low",Admin,"2024-11-20 09:56:34"
38,"Overall Score","No Country",DJI,2023,4.206211958,#d73027,"Very High",Admin,"2024-11-20 09:56:34"
39,"Overall Score","No Country",DNK,2023,1.299024354,#1a9850,"Very Low",Admin,"2024-11-20 09:56:34"
40,"Overall Score","No Country",DOM,2023,3.552740311,#fdae61,High,Admin,"2024-11-20 09:56:34"
41,"Overall Score","No Country",DZA,2023,2.790120644,#a6d96a,Low,Admin,"2024-11-20 09:56:34"
42,"Overall Score","No Country",ECU,2023,3.676847757,#fdae61,High,Admin,"2024-11-20 09:56:34"
43,"Overall Score","No Country",EGY,2023,3.818895145,#fdae61,High,Admin,"2024-11-20 09:56:34"
44,"Overall Score","No Country",ERI,2023,4.398004693,#d73027,"Very High",Admin,"2024-11-20 09:56:34"
45,"Overall Score","No Country",ESP,2023,1.641491156,#1a9850,"Very Low",Admin,"2024-11-20 09:56:34"
46,"Overall Score","No Country",EST,2023,1.551459436,#1a9850,"Very Low",Admin,"2024-11-20 09:56:34"
47,"Overall Score","No Country",ETH,2023,4.409321206,#d73027,"Very High",Admin,"2024-11-20 09:56:34"
48,"Overall Score","No Country",FIN,2023,1.299024354,#1a9850,"Very Low",Admin,"2024-11-20 09:56:34"
49,"Overall Score","No Country",FRA,2023,1.747968453,#1a9850,"Very Low",Admin,"2024-11-20 09:56:34"
